Predictor variable,Categorical,Sample average
bioclim_01,false,20.581791615491408
bioclim_02,false,10.223218062077366
bioclim_03,false,47.54286982986317
bioclim_04,false,381.16281192083284
bioclim_05,false,30.237791543132133
bioclim_06,false,8.725725777984929
bioclim_07,false,21.51206532426555
bioclim_08,false,23.093638417026746
bioclim_09,false,18.013838466903913
bioclim_10,false,24.933652183731194
bioclim_11,false,15.594972308924907
bioclim_12,false,1164.1580707370722
bioclim_13,false,314.15714989937686
bioclim_14,false,9.361899397173772
bioclim_15,false,95.25972820301767
bioclim_16,false,580.9983540158007
bioclim_17,false,84.80807865642075
bioclim_18,false,430.7556754726628
bioclim_19,false,166.02664968273388
