x,y,species cloglog values
204.0,204.0,4.5604425E-4
205.0,205.0,1.3467655E-4
206.0,206.0,3.6055386E-5
207.0,207.0,0.006253566
208.0,208.0,0.002532166
209.0,209.0,7.765963E-5
210.0,210.0,1.8872408E-4
211.0,211.0,4.091889E-4
212.0,212.0,0.0078046364
213.0,213.0,6.1810616E-4
214.0,214.0,2.4664481E-5
215.0,215.0,8.3367334E-4
216.0,216.0,4.434843E-4
217.0,217.0,3.595482E-4
218.0,218.0,0.008707123
219.0,219.0,3.7774292E-4
220.0,220.0,4.199681E-5
221.0,221.0,0.0041204714
222.0,222.0,0.007272409
223.0,223.0,0.0048996354
224.0,224.0,0.0043699746
225.0,225.0,0.005086549
226.0,226.0,0.008749377
227.0,227.0,0.01210134
228.0,228.0,0.0052348776
229.0,229.0,0.0054041697
230.0,230.0,0.004135953
231.0,231.0,0.016840478
232.0,232.0,0.0014991557
233.0,233.0,0.009233898
234.0,234.0,0.0072488263
235.0,235.0,0.0027112458
236.0,236.0,0.007521085
237.0,237.0,0.015483873
238.0,238.0,0.012747047
239.0,239.0,0.007817419
240.0,240.0,0.005872807
241.0,241.0,0.006131451
242.0,242.0,0.02847117
243.0,243.0,0.016467467
244.0,244.0,0.0052475045
245.0,245.0,0.01491413
246.0,246.0,0.0073529747
247.0,247.0,0.005972688
248.0,248.0,0.009088574
249.0,249.0,0.0031621065
250.0,250.0,0.0071837544
251.0,251.0,0.01834019
252.0,252.0,0.012931388
253.0,253.0,0.0059473445
254.0,254.0,0.024617314
255.0,255.0,0.0037759603
256.0,256.0,0.007908936
257.0,257.0,0.014378374
258.0,258.0,0.007241738
259.0,259.0,0.0074042873
260.0,260.0,0.0029987658
261.0,261.0,0.00636177
262.0,262.0,0.017192759
263.0,263.0,0.008597234
264.0,264.0,0.023087068
265.0,265.0,0.008588651
266.0,266.0,0.0062118974
267.0,267.0,0.013737853
268.0,268.0,0.007262851
269.0,269.0,0.005582451
270.0,270.0,0.006806251
271.0,271.0,0.012371612
272.0,272.0,0.009627227
273.0,273.0,0.010258006
274.0,274.0,0.017706377
275.0,275.0,0.010985917
276.0,276.0,0.0121048605
277.0,277.0,0.0050478196
278.0,278.0,0.045222376
279.0,279.0,0.013198847
280.0,280.0,0.01846539
281.0,281.0,0.079454415
282.0,282.0,0.008709487
283.0,283.0,0.005263069
284.0,284.0,0.016527314
285.0,285.0,0.010506137
286.0,286.0,0.014241921
287.0,287.0,0.0110744415
288.0,288.0,0.004634631
289.0,289.0,0.017383857
290.0,290.0,0.008471289
291.0,291.0,0.0058556944
292.0,292.0,0.008030539
293.0,293.0,0.022237271
294.0,294.0,0.008053966
295.0,295.0,0.017443817
296.0,296.0,0.0036904856
297.0,297.0,0.019209038
298.0,298.0,0.0052438
299.0,299.0,0.004685357
300.0,300.0,0.018667215
301.0,301.0,0.053336132
302.0,302.0,0.04300186
303.0,303.0,0.008181796
304.0,304.0,0.004185318
305.0,305.0,0.027121678
306.0,306.0,0.024805173
307.0,307.0,0.028228898
308.0,308.0,0.032041807
309.0,309.0,0.00612718
310.0,310.0,0.02212086
311.0,311.0,0.0028384458
312.0,312.0,0.01457535
313.0,313.0,0.0085231215
314.0,314.0,0.004743315
315.0,315.0,0.008467509
316.0,316.0,0.013398841
317.0,317.0,0.019429915
318.0,318.0,0.0049544927
319.0,319.0,0.005216634
320.0,320.0,0.011828114
321.0,321.0,0.038266223
322.0,322.0,0.0046703657
323.0,323.0,0.0060316245
324.0,324.0,0.0100290105
325.0,325.0,0.006007311
326.0,326.0,0.006331457
327.0,327.0,0.003120477
328.0,328.0,0.005828573
329.0,329.0,0.0062839384
330.0,330.0,0.011862539
331.0,331.0,0.0034000324
332.0,332.0,0.0039486517
333.0,333.0,0.005699633
334.0,334.0,0.0030771848
335.0,335.0,0.003582314
336.0,336.0,0.0059575387
337.0,337.0,0.0061295168
338.0,338.0,0.0054829614
339.0,339.0,0.007890783
340.0,340.0,0.0051650847
341.0,341.0,0.005046261
342.0,342.0,0.00853814
343.0,343.0,0.008356854
344.0,344.0,0.0061465884
345.0,345.0,0.0029635206
346.0,346.0,0.004699804
347.0,347.0,0.0029316586
348.0,348.0,0.0081123905
349.0,349.0,0.0069283093
350.0,350.0,0.004653037
351.0,351.0,0.0066273916
352.0,352.0,0.005622912
353.0,353.0,0.0021676926
354.0,354.0,0.0051500667
355.0,355.0,0.0021583596
356.0,356.0,0.006995827
357.0,357.0,0.0036979113
358.0,358.0,0.003951368
359.0,359.0,0.0059309243
360.0,360.0,0.012747097
361.0,361.0,0.0021860276
362.0,362.0,0.0039603882
363.0,363.0,0.0023790994
364.0,364.0,0.008089927
365.0,365.0,0.0047290167
366.0,366.0,0.00541261
367.0,367.0,0.0040841918
368.0,368.0,0.010258397
369.0,369.0,0.0040358603
370.0,370.0,0.0310722
371.0,371.0,0.011002356
372.0,372.0,0.034752302
373.0,373.0,0.011954469
374.0,374.0,0.011324061
375.0,375.0,0.0039080065
376.0,376.0,0.030183256
377.0,377.0,0.0077498867
378.0,378.0,0.012086175
379.0,379.0,0.013933308
380.0,380.0,0.0065479637
381.0,381.0,0.016872713
382.0,382.0,0.012817355
383.0,383.0,0.004145116
384.0,384.0,0.0081047
385.0,385.0,0.03927341
386.0,386.0,0.0048946887
387.0,387.0,0.032006342
388.0,388.0,0.007157378
389.0,389.0,0.0070200507
390.0,390.0,0.0057100807
391.0,391.0,0.016696796
392.0,392.0,0.010804684
393.0,393.0,0.0044757035
394.0,394.0,0.038910173
395.0,395.0,0.003403267
396.0,396.0,0.0051936945
397.0,397.0,0.0045483275
398.0,398.0,0.040878147
399.0,399.0,0.022945581
400.0,400.0,0.022221291
401.0,401.0,0.0033213382
402.0,402.0,0.0151969325
403.0,403.0,0.031428788
404.0,404.0,0.02314535
405.0,405.0,0.01896837
406.0,406.0,0.00560865
407.0,407.0,0.005006915
408.0,408.0,0.027565122
409.0,409.0,0.024266273
410.0,410.0,0.031430535
411.0,411.0,0.0046910495
412.0,412.0,0.02566441
413.0,413.0,0.005502602
414.0,414.0,0.038998917
415.0,415.0,0.00601869
416.0,416.0,0.008324086
417.0,417.0,0.013337363
418.0,418.0,0.03496355
419.0,419.0,0.0047813947
420.0,420.0,0.02787902
421.0,421.0,0.004847295
422.0,422.0,0.025660455
423.0,423.0,0.06078625
424.0,424.0,0.010656617
425.0,425.0,0.009572122
426.0,426.0,0.004060764
427.0,427.0,0.0043905624
428.0,428.0,0.010221891
429.0,429.0,0.030639974
430.0,430.0,0.0043996545
431.0,431.0,0.0134196915
432.0,432.0,0.025792496
433.0,433.0,0.007363477
434.0,434.0,0.028393054
435.0,435.0,0.031551883
436.0,436.0,0.021036876
437.0,437.0,0.019069597
438.0,438.0,0.008034585
439.0,439.0,0.016491553
440.0,440.0,0.08430471
441.0,441.0,0.024636742
442.0,442.0,0.008661455
443.0,443.0,0.008267957
444.0,444.0,0.003128481
445.0,445.0,0.0074386937
446.0,446.0,0.012605358
447.0,447.0,0.008029413
448.0,448.0,0.014189015
449.0,449.0,6.578971E-4
450.0,450.0,0.0029921033
451.0,451.0,0.0012826849
452.0,452.0,0.002675376
453.0,453.0,0.004253559
454.0,454.0,0.003885539
455.0,455.0,0.00268174
456.0,456.0,0.0046213726
457.0,457.0,0.01636633
458.0,458.0,0.023768343
459.0,459.0,0.042099465
460.0,460.0,0.031812724
461.0,461.0,0.16869679
462.0,462.0,0.027951999
463.0,463.0,0.024694897
464.0,464.0,0.017631756
465.0,465.0,0.047052957
466.0,466.0,0.017566714
467.0,467.0,0.02014566
468.0,468.0,0.026838804
469.0,469.0,0.03730851
470.0,470.0,0.034718063
471.0,471.0,0.21620263
472.0,472.0,0.02207543
473.0,473.0,0.024500018
474.0,474.0,0.31697223
475.0,475.0,0.08522593
476.0,476.0,0.008047208
477.0,477.0,0.04970282
478.0,478.0,0.21211511
479.0,479.0,0.048531994
480.0,480.0,0.02721912
481.0,481.0,0.056929596
482.0,482.0,0.04465508
483.0,483.0,0.0366174
484.0,484.0,0.021179259
485.0,485.0,0.014582203
486.0,486.0,0.023689568
487.0,487.0,0.029137205
488.0,488.0,0.036027085
489.0,489.0,0.042947795
490.0,490.0,0.08275017
491.0,491.0,0.0132234655
492.0,492.0,0.1472782
493.0,493.0,0.04283036
494.0,494.0,0.03129653
495.0,495.0,0.08645846
496.0,496.0,0.09320456
497.0,497.0,0.055813093
498.0,498.0,0.049379118
499.0,499.0,0.054703053
500.0,500.0,0.026499387
501.0,501.0,0.033600956
502.0,502.0,0.02888356
503.0,503.0,0.017111134
504.0,504.0,0.02882879
505.0,505.0,0.056301735
506.0,506.0,0.0927273
507.0,507.0,0.02824867
508.0,508.0,0.026483657
509.0,509.0,0.06251553
510.0,510.0,0.07014697
511.0,511.0,0.16300635
512.0,512.0,0.028796185
513.0,513.0,0.025843013
514.0,514.0,0.016002273
515.0,515.0,0.016494801
516.0,516.0,0.04467021
517.0,517.0,0.007346158
518.0,518.0,0.027520228
519.0,519.0,0.029270781
